file,rand_score,ami_score,consistency_score
Swayin_To_the_Music_Slow_Dancin_.pkl,0.391061899493434,0.42578061870990963,0.6788154897494305
We_Built_This_City.2.pkl,0.5062631912429084,0.5706444634798092,0.6786616161616161
Hound_Dog.4.pkl,0.5964268839274436,0.4938130199877904,0.6786102062975027
Waterfalls.1.pkl,0.5351360296146119,0.43226102475050865,0.6786008230452675
Waterfalls.pkl,0.5365401755499059,0.4334516148913278,0.6786008230452675
Waterfalls.2.pkl,0.5349932196229216,0.43203086137463564,0.6779835390946503
Waterfall_single_edit_.pkl,0.5349932196229216,0.43203086137463564,0.6779835390946503
A_Celebration.pkl,0.2537496496338825,0.2631993369505645,0.6779166666666666
Noi_due_nel_mondo_e_nellanima.1.pkl,0.4279774398346001,0.45566060455880675,0.6778752436647173
Noi_due_nel_mondo_e_nellanima.2.pkl,0.4279774398346001,0.45566060455880675,0.6778752436647173
Wannabe.pkl,0.4377961910383166,0.4531475365757361,0.6778135048231512
If_I_Ever_Lose_My_Faith_in_You.6.pkl,0.4780869822773789,0.44408596813522,0.6776071340104037
Norwegian_Wood.pkl,0.23532708715377482,0.2948329765350406,0.6770734783979817
50_Special.2.pkl,0.4814893209897634,0.4868666661202741,0.6770423643105967
If_I_Ever_Lose_My_Faith_in_You.8.pkl,0.4765595539632713,0.4428365536747687,0.6769516728624535
50_Ways_to_Leave_Your_Lover.pkl,0.4032403437445236,0.36559628712096015,0.6767701260911736
99_Ways_to_Die.pkl,0.40770158027876763,0.40586944668441244,0.6756756756756757
Wanna_Be_Starting_Something.1.pkl,0.5742470628480056,0.521634232943395,0.6752963737796374
Hollywood_remix_.pkl,0.6346092648633446,0.5209818676744932,0.675246531840214
If_I_Ever_Lose_My_Faith_in_You.5.pkl,0.4733300727583548,0.441088289083829,0.675092936802974
If_I_Ever_Lose_My_Faith_in_You.pkl,0.4733300727583548,0.441088289083829,0.675092936802974
Non_mannoio.pkl,0.10044703689236416,0.23069372231263344,0.6750407830342577
If_You_Only_Let_Me_In.pkl,0.2043775323279426,0.2358542439118263,0.6748178980228928
No_Excuses.2.pkl,0.11191639314325261,0.24872807031089753,0.6739449541284404
If_You_Think_You_Know_How_to_Love_Me.pkl,0.416053207261485,0.46556943551024577,0.6729582577132487
Wann_fangt_denn_endlich_d_Musi_an.pkl,0.5538714600073712,0.5260545216164446,0.6729137897021109
Il_mio_amore_per_te.pkl,0.5187576935184995,0.49707277319874155,0.6725826193390453
How_Am_I_Supposed_to_Live_Without_You.3.pkl,0.5405369046807843,0.43209751537390234,0.6725094297759041
Bailamos.pkl,0.6367786351593411,0.5337903814524719,0.6721782064530945
Supersonic.pkl,0.4690560976547952,0.5200281147626066,0.6719250677840769
We_Are_the_Champions.pkl,0.361356147729877,0.3907736158287038,0.671267252195734
Hit_The_Road_Jack.pkl,0.4531399197008557,0.5534639454646219,0.6699507389162561
Youve_Got_Your_Troubles.pkl,0.49347125828361543,0.40346615582211376,0.6698372437116888
Hold_Me_Tight.pkl,0.48662793674840565,0.4161317538030408,0.6696358396646581
If_I_Fell.1.pkl,0.5036108041178026,0.4849087812412319,0.6668761785040854
Nord_Sud_Ovest_Est.3.pkl,0.41197379598340417,0.40755532106884723,0.6661234836139779
Bakerstreet.1.pkl,0.6103540227782523,0.48321760937918556,0.6650105102235812
Il_cielo.1.pkl,0.09671970064594843,0.3060856577537769,0.6643581740148263
Il_cielo_in_una_stanza.pkl,0.46602842508867504,0.49977971924062997,0.6632443531827515
29_Settembre.pkl,0.186275901620811,0.35158007050964746,0.6628380881808077
50_Special.pkl,0.5129690020625347,0.40783921216451063,0.6616878816864101
Ill_Be_There.2.pkl,0.45334303960324035,0.43398681587612836,0.6610357857301623
100%_Pure_Love.1.pkl,-0.003090288054339418,0.20238811092690365,0.6610328638497652
Zombie.1.pkl,0.358191235249258,0.4191368885237243,0.6606429192006951
Zombie.3.pkl,0.358191235249258,0.4191368885237243,0.6606429192006951
War_Machine.pkl,0.5236700106361675,0.5069596717285009,0.6605222734254992
If_You_Love_Somebody_Set_Them_Free.1.pkl,0.6542563073324483,0.5369175923292937,0.6584419460750174
If_I_Needed_Someone.pkl,0.5868538265279648,0.48017207852255694,0.6579890136135658
If_I_Fell.3.pkl,0.29073332071860475,0.40119100059800417,0.6567679558011049
A_chi.pkl,0.45483705362905186,0.4502396595936934,0.6566692975532754
1950.pkl,0.1309831192067649,0.3620494007182103,0.6566377171215881
Holiday_medley_.pkl,0.6909308944192349,0.5510100223392776,0.655409208600698
7_Days_One_Week.pkl,0.25840303070654314,0.5334263645471492,0.6539132964794879
Not_a_Second_Time.pkl,0.23263609167811716,0.3707861098854775,0.653635652853792
Youre_Sixteen.pkl,0.3646981055297189,0.44904504827012515,0.6534623525854248
Non_ti_passa_piu.pkl,0.49973314208508124,0.554008493260539,0.6533297165332972
Hope_of_Deliverance.1.pkl,0.2453513548568068,0.3431875124178916,0.6532726813242355
No_Matter_What.pkl,0.4846388084705911,0.4089775162855619,0.6526150328665333
Hold_On_Im_Coming_.pkl,0.45419607673555756,0.42582196284597346,0.6521338655204175
Sunny_Came_Home.pkl,0.5734445874030875,0.45155571564096586,0.6516818610499843
HIStory.pkl,0.5239761611372911,0.4151612043048797,0.6513217866909754
Ill_Have_To_Say_I_Love_You_In_A_Song.pkl,0.3787363548307828,0.5165931133517739,0.6511044176706827
We_Built_This_City.pkl,0.4514165872557001,0.46175391872949595,0.6509686564813356
Sweet_Freedom.pkl,0.46838982380684097,0.49642966309188785,0.650091407678245
Nord_Sud_Ovest_Est.2.pkl,0.5128204663834215,0.47919158780475607,0.6496429539907801
Baker_Street.pkl,0.43251055885130046,0.5076791138169489,0.6495514411147165
Youve_Lost_That_Lovin_Feelin.4.pkl,0.4746573838551094,0.4434941726031121,0.6491853360488798
Il_Tuo_Bacio_E_Come_Un_Rock.3.pkl,0.5439635968485315,0.461922267222396,0.6491192549099007
Nord_Sud_Ovest_Est.pkl,0.5115704557118171,0.4775377710846922,0.6488321564367192
Nothing.pkl,0.5229196319173478,0.5118154056563549,0.6485252808988764
Histoire_de_faussaire.pkl,0.12393395278994858,0.23537871702237723,0.6483833718244804
Sweet_Hitch-Hiker.pkl,0.44128331154876344,0.45860947661293733,0.6482507793557326
No_Disco.pkl,0.46808035040703594,0.46919692029028587,0.6472972972972973
Honey.pkl,0.26154604438877405,0.418752343409365,0.6467441431470209
Wann_wirds_mal_wieder_richtig_Sommer.pkl,0.3473603199971464,0.5197627419898787,0.6464336324988191
No_Excuses.3.pkl,0.09153467391130911,0.24572441574038947,0.6463131583645777
Hot_Love.pkl,0.4054950514113789,0.4007285969316418,0.6449916327994263
Sweat_A_La_La_La_Song_.1.pkl,0.5922908653098242,0.5759573633512819,0.6446175637393767
Sweet_Georgia_Brown.pkl,0.41092468705455537,0.39650115404891284,0.6444780635400907
Non_vergognarsi_mai.pkl,0.5326810509054457,0.4634320901175867,0.644416456759026
Baker_Street.2.pkl,0.5415533876689217,0.5056248210704489,0.6443484521238301
1999.pkl,0.38746014071797463,0.4660927747559973,0.6427480916030535
No_One.pkl,0.5855857815927727,0.5118522036059858,0.6423476968796434
Sunday_Mornin_Comin_Down.pkl,0.22269024732763446,0.40587912251906205,0.6423231742380678
No_More_I_Love_Yous.pkl,0.529320438089119,0.47650737064370674,0.6414766558089033
Il_carnevale.pkl,0.512619092343543,0.4792078628493055,0.6410934744268078
No_More_I_Love_Yous.2.pkl,0.529336884819127,0.47481002815347595,0.6408695652173914
Nothin_Shakin.pkl,0.3648496471441619,0.42423283988376953,0.6407251824010612
50_primavere.pkl,0.4814393979466812,0.4570464351441378,0.6404199475065617
Sunday_Morning_Comin_Down_live_.pkl,0.23407198073364338,0.4019832671226517,0.6402815687401235
Hound_Dog.2.pkl,0.3496507063291676,0.48322574531226753,0.6395842172252864
If_You_Were_Me.pkl,0.5576579303540045,0.42584149577501373,0.6394379246448425
Zie_me_graag.pkl,0.45277012151538704,0.4490963058877954,0.6388595564941922
Swamp_Thing.pkl,0.48522348175315244,0.44308897916250123,0.6387318255250404
Hocus_Pocus.pkl,0.2248929127578354,0.3692841216648245,0.6380568839667757
Youre_Still_the_One.pkl,0.44092907633074085,0.40012981425798194,0.6376101860920667
50_Ways_to_Leave_Your_Lover.1.pkl,0.4507284856161439,0.46452882686429153,0.637223974763407
Non_e_mai_stato_subito.pkl,0.41901487868822046,0.48730766156836314,0.6369248035914703
Summer_Time.pkl,0.39392786376634475,0.4471974255113956,0.6368923515856468
If_You_Love_Somebody_Set_Them_Free.2.pkl,0.3253326791207088,0.4788655758493461,0.6368018145732918
